pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Nom_orbit
0002 0053    57.480024700000001303   151.457666039999992336   158.614343090000005532
0002 0054    56.944200350000009792   151.840578649999997651   159.006678469999997105
0002 0055    56.406942039999997007   152.211464309999996658   159.386575699999980316
0002 0056    55.868315959999996778   152.570867850000013277   159.754571639999994659
0002 0057    55.328384450000001493   152.919304009999990512   160.111173040000039691
0002 0058    54.787206150000002935   153.257259449999963863   160.456858560000000580
0002 0059    54.244836290000009171   153.585194499999971640   160.792080489999989368
0002 0060    53.701326919999992526   153.903544790000040621   161.117266419999992877
0002 0061    53.156727170000003468   154.212722829999989926   161.432820779999985916
0002 0062    52.611083409999999105   154.513119409999973186   161.739126279999993585
0002 0063    52.064439419999992253   154.805104980000010073   162.036545249999988982
0002 0064    51.516836630000000241   155.089030860000008261   162.325420879999995805
0002 0065    50.968314229999990062   155.365230450000012752   162.606078380000013794
0002 0066    50.418909270000000333   155.634020289999966735   162.878826120000013589
0002 0067    49.868656900000004839   155.895701070000029631   163.143956570000000283
0002 0068    49.317590479999999786   156.150558560000007446   163.401747260000007600
0002 0069    48.765741570000002980   156.398864580000008573   163.652461719999990919
0002 0070    48.213140189999997176   156.640877710000012257   163.896350229999995918
0002 0071    47.659814869999998166   156.876844110000035926   164.133650619999997389
0002 0072    47.105792710000002899   157.106998259999983247   164.364589000000023589
0002 0073    46.551099460000003205   157.331563620000025594   164.589380419999997684
0002 0074    45.995759679999991931   157.550753240000005917   164.808229479999994282
0002 0075    45.439796770000000947   157.764770350000020471   165.021330940000012788
0002 0076    44.883233009999997876   157.973808950000005780   165.228870269999987386
0002 0077    44.326089629999998465   158.178054269999989856   165.431024159999992662
0002 0078    43.768386960000000840   158.377683289999993121   165.627960980000011659
0002 0079    43.210144329999998547   158.572865210000003344   165.819841279999991457
0002 0080    42.651380289999998752   158.763761810000005426   166.006818170000002510
0002 0081    42.092112559999996790   158.950527889999989384   166.189037700000000086
0002 0082    41.532358059999999966   159.133311689999999317   166.366639319999961799
0002 0083    40.972132999999999470   159.312255130000011150   166.539756140000008600
0002 0084    40.411452969999999141   159.487494249999997464   166.708515279999971881
0002 0085    39.850332860000001745   159.659159450000004199   166.873038220000012188
0002 0086    39.288786960000010140   159.827375810000006595   167.033441040000013800
0002 0087    38.726828990000001340   159.992263360000038119   167.189834730000001173
0002 0088    38.164472150000001704   160.153937350000006745   167.342325390000013385
0002 0089    37.601729110000000844   160.312508470000011584   167.491014560000024858
0002 0090    37.038612049999997566   160.468083100000029617   167.635999359999999569
0002 0091    36.475132690000002356   160.620763519999968594   167.777372759999991558
0002 0092    35.911302349999999706   160.770648080000000846   167.915223749999995562
0002 0093    35.347131889999999999   160.917831489999969108   168.049637570000015785
0002 0094    34.782631819999998868   161.062404880000002549   168.180695829999990565
0002 0095    34.217812259999995206   161.204456039999996619   168.308476729999995314
0002 0096    33.652682970000000751   161.344069609999991144   168.433055209999992030
0002 0097    33.087253419999996140   161.481327150000026904   168.554503079999989268
0002 0098    32.521532720000003280   161.616307349999999587   168.672889179999998532
0002 0099    31.955529680000001491   161.749086150000010775   168.788279509999995298
0002 0100    31.389252860000002698   161.879736869999987903   168.900737359999993714
