pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Cal_orbit
0001 0241    48.762001810000001001    33.318579239999998265    16.363669500000000312
0001 0242    49.313806030000002067    33.567098080000000948    16.614085370000001518
0001 0243    49.864827960000006613    33.822165149999996459    16.871572310000004791
0001 0244    50.415036039999996831    34.084052069999998480    17.136393670000000355
0001 0245    50.964396979999996518    34.353044420000003356    17.408826839999999692
0001 0246    51.512875649999998018    34.629442709999999295    17.689164110000003660
0001 0247    52.060434989999997413    34.913563240000001997    17.977713630000000222
0001 0248    52.607035879999997974    35.205739190000002736    18.274800429999999096
0001 0249    53.152636890000003689    35.506321610000000533    18.580767459999997016
0001 0250    53.697194289999998773    35.815680700000001480    18.895976829999998614
0001 0251    54.240661740000007285    36.134206980000001863    19.220810979999999546
0001 0252    54.782990179999998759    36.462312640000000385    19.555674079999999293
0001 0253    55.324127570000001697    36.800432989999997346    19.900993400000000833
0001 0254    55.864018729999990853    37.149028000000001271    20.257220920000001740
0001 0255    56.402605100000002381    37.508583989999998209    20.624834960000001161
0001 0256    56.939824360000002912    37.879615280000002997    21.004341889999999182
0001 0257    57.475610349999996629    38.262666260000003149    21.396278160000004931
0001 0258    58.009892680000000098    38.658313339999999414    21.801212240000001685
0001 0259    58.542596310000007520    39.067167120000000580    22.219746820000001009
0001 0260    59.073641289999997639    39.489874780000000953    22.652521180000000811
0001 0261    59.602942410000004259    39.927122570000001645    23.100213709999998457
0001 0262    60.130408610000010583    40.379638489999990725    23.563544520000000659
0001 0263    60.655942680000016765    40.848195169999996779    24.043278390000001110
0001 0264    61.179440689999999847    41.333612899999998547    24.540227789999999430
0001 0265    61.700791389999999126    41.836762899999996534    25.055256079999999486
0001 0266    62.219875739999984887    42.358570839999998725    25.589281129999999820
0001 0267    62.736566029999991656    42.900020339999997532    26.143278760000001171
0001 0268    63.250725420000009080    43.462157070000003500    26.718286819999999437
0001 0269    63.762206970000001149    44.046092620000003137    27.315409159999997968
0001 0270    64.270852820000001770    44.653008919999997772    27.935819890000001209
0001 0271    64.776493369999997185    45.284162680000001444    28.580767980000000961
0001 0272    65.278946059999995555    45.940889880000000289    29.251581640000004825
0001 0273    65.778014490000003889    46.624610680000003526    29.949673289999999781
0001 0274    66.273486969999993335    47.336834029999998563    30.676544140000000738
0001 0275    66.765135419999992905    48.079162619999998185    31.433789129999997414
0001 0276    67.252713849999992135    48.853297589999996831    32.223101700000000847
0001 0277    67.735956810000004680    49.661042899999998212    33.046278060000005894
0001 0278    68.214577760000011608    50.504309609999999964    33.905221570000001918
0001 0279    68.688267240000001834    51.385119369999998185    34.801946180000001618
0001 0280    69.156690990000001307    52.305607260000009262    35.738579250000000798
0001 0281    69.619487919999997416    53.268023550000002331    36.717363370000001055
0001 0282    70.076267839999999865    54.274733719999993298    37.740656309999998541
0001 0283    70.526609280000002400    55.328216910000001860    38.810929539999996507
0001 0284    70.970057100000005335    56.431061800000001938    39.930764050000000509
0001 0285    71.406119970000005992    57.585958980000000906    41.102842729999998994
0001 0286    71.834267980000007014    58.795690030000002935    42.329939520000003483
0001 0287    72.253930159999995908    60.063111390000003098    43.614903179999998883
